Variável,Grupo Base (média),Grupo Outros (média),Diferença,Diferença Relativa (%),Efeito,p-valor
HDW_av,24207.595,38271.662,-14064.068,-36.75,↓ MENOR,0.0
VentIdx_av,10444.566,12130.304,-1685.738,-13.9,↓ MENOR,0.0
ros_p_lg1,724.649,1572.016,-847.367,-53.9,↓ MENOR,0.0
VPD_Pa_av,2151.964,2760.243,-608.279,-22.04,↓ MENOR,0.0
f_start,1743.724,1175.461,568.263,48.34,↑ MAIOR,0.0
BLH_m_av,777.502,1124.575,-347.073,-30.86,↓ MENOR,0.0
elev_av,537.782,458.447,79.335,17.31,↑ MAIOR,0.0006
DC_12h_av,741.965,787.083,-45.118,-5.73,↓ MENOR,0.0089
LCL_hPa_av,771.755,737.584,34.171,4.63,↑ MAIOR,0.0
wSv_1_av,67.331,79.272,-11.941,-15.06,↓ MENOR,0.0
rh_2m_av,42.486,34.804,7.681,22.07,↑ MAIOR,0.0
TotCC_p_av,17.568,24.535,-6.967,-28.4,↓ MENOR,0.0314
wv_500_av,38.72,44.331,-5.612,-12.66,↓ MENOR,0.0001
rh_300_av,41.109,46.251,-5.142,-11.12,↓ MENOR,0.0411
wv_700_av,29.186,34.087,-4.901,-14.38,↓ MENOR,0.0004
rh_950_av,40.122,35.392,4.73,13.36,↑ MAIOR,0.0001
wv_950_av,17.463,21.657,-4.194,-19.37,↓ MENOR,0.0
wv100_k_av,17.535,21.634,-4.099,-18.95,↓ MENOR,0.0
gT_s_9_av,-3.521,-7.449,3.928,-52.73,↑ MAIOR,0.006
FWI_12h_av,47.415,51.303,-3.888,-7.58,↓ MENOR,0.0
duration_p,5.478,2.099,3.38,161.04,↑ MAIOR,0.0
wv_850_av,20.828,24.188,-3.359,-13.89,↓ MENOR,0.0
wv10_kh_av,10.732,13.545,-2.812,-20.76,↓ MENOR,0.0
t_2m_C_av,25.574,27.819,-2.245,-8.07,↓ MENOR,0.0
LiftIdx_av,16.874,14.794,2.08,14.06,↑ MAIOR,0.0
dfmc_av,10.404,8.935,1.469,16.44,↑ MAIOR,0.0
LowCC_p_av,2.343,0.928,1.415,152.54,↑ MAIOR,0.0115
t_950_av,25.067,26.226,-1.159,-4.42,↓ MENOR,0.0064
d_2m_C_av,10.197,9.114,1.084,11.89,↑ MAIOR,0.0001
landform,23.428,24.259,-0.831,-3.43,↓ MENOR,0.0306
gT_9_8_av,-6.213,-6.994,0.782,-11.18,↑ MAIOR,0.0002
gT_8_7_av,-6.876,-7.206,0.33,-4.57,↑ MAIOR,0.0021
land_use,5.798,5.482,0.317,5.77,↑ MAIOR,0.0123
Haines_av,2.343,2.599,-0.256,-9.85,↓ MENOR,0.0021
wco_500_av,-0.048,-0.287,0.239,-83.12,↑ MAIOR,0.0
wcos100_av,0.197,-0.003,0.2,-5855.72,↑ MAIOR,0.0004
wcos10_av,0.186,-0.013,0.199,-1482.68,↑ MAIOR,0.0005
wco_950_av,0.18,-0.0,0.18,-516226.24,↑ MAIOR,0.0038
wsi_950_av,-0.07,-0.229,0.158,-69.22,↑ MAIOR,0.033
wsi_850_av,0.026,-0.129,0.155,-120.38,↑ MAIOR,0.0059
wsin100_av,-0.123,-0.273,0.15,-55.03,↑ MAIOR,0.0417
