variable,corr_ros_p_model,corr_log_ros_p_model,corr_ros_p_model_log,corr_log_ros_p_model_log,Relation
CBH_m_av,0.09415687209378829,0.10249421582619918,0.09262262621975269,0.06944004405230057,Relação Exponencial
ISI_12h_av,0.07149706920397401,0.08586473425726596,0.08055611290832126,0.09480659930760198,Relação Potência
wSsin_9_av,0.06858298773331023,0.08292930051731823,0.07105857031097541,0.08500693252781914,Relação Potência
wsi_300_av,0.05817651851398696,0.03625477910338249,0.052076582349840805,0.029812133180179636,Relação Linear
DC_12h_av,0.07995193090982583,0.08146600592441612,0.08369423219232605,0.08464615585848541,Relação Potência
wco_500_av,-0.1441229410816811,-0.1449398401641507,-0.1404106069863116,-0.14206660487133504,Relação Exponencial
wSsin_7_av,-0.08001085327108633,-0.129852974163944,-0.08047263763116497,-0.13040060699126912,Relação Potência
f_start,-0.10100440866679104,-0.17369752143915662,-0.15334532686859997,-0.25297496188747237,Relação Potência
wSsin_1_av,0.04118653210937304,0.05624037304173171,0.039903555030823226,0.056661067684338186,Relação Potência
fuel_age,0.07191176759060483,0.09770848844580599,0.09023907345733737,0.1207521026742861,Relação Potência
HDW_av,0.43480393769585085,0.4965295064562746,0.3916629509877386,0.4985859501322976,Relação Potência
1_3y_fir_p,-0.08213528329060135,-0.13067291754289492,-0.08136025979397439,-0.10831824541869742,Relação Exponencial
LiftIdx_av,-0.18497950190354298,-0.2673964784388759,-0.21488865993634973,-0.29319238367490186,Relação Potência
sW_289_av,-0.10588609981175597,-0.12333780938715183,-0.10234481713166714,-0.1191314572376221,Relação Exponencial
t_850_av,0.12356338131263353,0.11198545731456709,0.12104559863678346,0.1098011505326839,Relação Linear
rh_950_av,-0.19077896464766242,-0.24869774701746736,-0.20561423185386823,-0.24895293079982675,Relação Potência
LFC_hPa_av,0.05736840619962679,0.06783157947211117,0.04920846369045895,0.05848884660648466,Relação Exponencial
Cin_av,0.02876873652933195,0.07068902154073706,-0.20384833396425103,-0.24267703452828499,Relação Potência
VentIdx_av,0.16019244577453298,0.13738201068989692,0.19297111353702937,0.18951991189437453,Relação Logarítmica
vwv_500_av,-0.006975910141228221,-0.03216170900714734,-0.006621169945243749,-0.03390965784394868,Relação Potência
sP_hPa_av,0.06165040216176133,0.06394920977231439,0.06151295388442522,0.06424568637594325,Relação Potência
wsin10_av,-0.06307603364518183,-0.13016413855880918,-0.07085704493788433,-0.1385332076281037,Relação Potência
gT_s_9_av,-0.17110542073512336,-0.28773765528596607,-0.1964092100991441,-0.3540976452980239,Relação Potência
MidCC_p_av,0.07963752901682845,0.06726575059211659,0.05227509006339419,0.024050696122296735,Relação Linear
wco_850_av,-0.047030173786116757,-0.002812293013390223,-0.047402330601796924,-0.003069739063440535,Relação Logarítmica
f_load_av,-0.02041060786193749,0.020388946466194185,-0.027099396050350163,0.016489694155830733,Relação Logarítmica
vwv_300_av,-0.009815323870599479,-3.023067594548714e-05,-0.011348523391858016,-0.0015729845021621705,Relação Logarítmica
