variable,corr_ros_p_model,corr_log_ros_p_model,corr_ros_p_model_log,corr_log_ros_p_model_log,Relation
wSsin_7_av,-0.06100779700903466,-0.08145992318860253,-0.06100779700903466,-0.08145992318860253,Relação Exponencial
dfmc_av,-0.2314064259498199,-0.2879617827611187,-0.24677102818897972,-0.2990760344128878,Relação Potência
t_500_av,0.015612347703411859,0.03718314732473979,0.020633377384650476,0.04265519950768617,Relação Potência
BLH_m_av,0.25296154866353293,0.2905978329429675,0.22423809597656608,0.2584982894490675,Relação Exponencial
HDW_av,0.3654078683851813,0.3961743059503069,0.30292304782449897,0.3549023012741112,Relação Exponencial
EL_m_av,0.18532100384672018,0.2088539000293737,0.18641045431367892,0.22029611657127462,Relação Potência
wv_700_av,0.07119851811600492,0.057693584606862414,0.08361150505202904,0.07072353849376323,Relação Logarítmica
t_850_av,0.06554134248092264,0.07744346945484568,0.06115284014940566,0.07474434228957529,Relação Exponencial
wco_850_av,0.02038683684649039,0.05971960939970412,0.02038683684649039,0.05971960939970412,Relação Exponencial
vwv_700_av,0.004267810689695773,-0.020681363400049377,0.006658542156714338,-0.020217910875740992,Relação Exponencial
gT_s_9_av,-0.2118201525502901,-0.23309943066952662,-0.2458778592536114,-0.2835727183480114,Relação Potência
rh_950_av,-0.14099627163698064,-0.19173293518110482,-0.14225903507794085,-0.19195578578017283,Relação Potência
wSv_5_av,0.0446102578706353,0.05333689494938689,0.06449481802684212,0.07951430285422344,Relação Potência
LiftIdx_av,-0.1936538320322947,-0.22033928568771793,-0.2217998807500882,-0.24611946900620685,Relação Potência
sW_28_av,-0.06795714598674886,-0.08833190915065105,-0.06795714598674886,-0.08833190915065105,Relação Exponencial
TotCC_p_av,0.09174236515832114,0.08578377268224016,0.04756455275689473,0.04422504043656339,Relação Linear
wSsin_1_av,0.0426011258183337,0.03420506932869348,0.0426011258183337,0.03420506932869348,Relação Linear
sW_100_av,-0.13389875090578698,-0.16451810377220852,-0.13389875090578698,-0.16451810377220852,Relação Exponencial
LFC_hPa_av,0.0811025352097601,0.11083056375635206,0.07041759407819662,0.0994648815956497,Relação Exponencial
wsi_950_av,-0.12566579280376197,-0.15085970586203232,-0.12566579280376197,-0.15085970586203232,Relação Exponencial
LCL_hPa_av,-0.20569188502201982,-0.2504271708791506,-0.2120957852289866,-0.2550031325748941,Relação Potência
8_ny_fir_p,-0.0031187150645804636,-0.011206965856842352,0.011050083550072478,0.008685286881046287,Relação Exponencial
CMLG_av,0.03373857284756199,0.05551353612783232,0.029680175052973722,0.05043642137664968,Relação Exponencial
FWI_12h_av,0.151750256292042,0.16761634636147602,0.151750256292042,0.16761634636147602,Relação Exponencial
MidCC_p_av,0.006565508752539617,0.010266630405410142,-0.011632124594949627,-0.019960940100112977,Relação Potência
wScos_7_av,-0.0019295846486639793,-0.0022192179744939273,-0.0019295846486639793,-0.0022192179744939273,Relação Exponencial
wSsin_9_av,0.09049490292615087,0.11034893404119109,0.09049490292615087,0.11034893404119109,Relação Exponencial
wv100_k_av,0.2257401707658482,0.2349631017548476,0.2555554411994705,0.27812800118248876,Relação Potência
Recirc,-0.2194843317435928,-0.2707050582684759,-0.2283272840692971,-0.2767150713426116,Relação Potência
wcos100_av,-0.05671941786096045,-0.033032959297477064,-0.05671941786096045,-0.033032959297477064,Relação Linear
vwv_850_av,0.02285058084694159,0.006717823545898028,0.019417245482715763,0.0041829484809690785,Relação Linear
CBH_m_av,0.11986595338885492,0.12622556768538037,0.13014491483876578,0.12546360766442527,Relação Logarítmica
