variable,corr_ros_p_model,corr_log_ros_p_model_log,Relation
inidoy,-0.04238563415066097,0.25959079146694664,Relação Potência
enddoy,-0.044907789162752884,0.25770925210380496,Relação Potência
duration_p,-0.42879688052011283,-0.42809437704069936,Relação Linear
elev_av,-0.1355586332626794,-0.14530208957869603,Relação Potência
aspect_av,0.025448294549966152,0.11053600325812142,Relação Potência
landform,0.09264097597358549,-0.028961296352221774,Relação Linear
land_use,-0.08804733713494395,-0.004473087931656648,Relação Linear
1_3y_fir_p,-0.12628859343263427,-0.0455313169622721,Relação Linear
3_8y_fir_p,-0.019369138615400593,0.07307165493249212,Relação Potência
8_ny_fir_p,-0.0031187150645804636,0.01619692872147497,Relação Potência
fuel_model,-0.04822328346128721,0.04019958607035857,Relação Linear
f_load_av,0.04858259211158794,0.016158463173080166,Relação Linear
sW_1m_av,-0.1180693767614147,-0.2220869340055254,Relação Potência
sW_3m_av,-0.15214922572445044,-0.21521237585893463,Relação Potência
sW_7_av,0.007290584054876864,-0.1491367561286073,Relação Potência
sW_28_av,-0.06795714598674886,-0.17411549967473317,Relação Potência
sW_100_av,-0.13389875090578698,-0.23570264914218442,Relação Potência
sW_289_av,-0.1584406218812976,-0.2123693092303023,Relação Potência
t_2m_C_av,0.22453294340727772,0.17971060283358115,Relação Linear
d_2m_C_av,-0.09661830254837821,-0.21512295566931186,Relação Potência
rh_2m_av,-0.2253118966491258,-0.34399468958290186,Relação Potência
VPD_Pa_av,0.2544504380026038,0.27565001389313865,Relação Potência
sP_hPa_av,0.048503092428881324,0.14655776041791593,Relação Potência
gp_m2s2_av,-0.07239858141594571,-0.16189134768056093,Relação Potência
dfmc_av,-0.2314064259498199,-0.3415794621344833,Relação Potência
HDW_av,0.3654078683851813,0.3720631252108731,Relação Potência
Haines_av,0.011396391758607561,0.041319050025771,Relação Potência
FWI_12h_av,0.151750256292042,0.3297793468287294,Relação Potência
DC_12h_av,0.1245410276229248,0.2971891901783729,Relação Potência
FFMC_12h_a,0.05313241167683397,0.09821464746138765,Relação Potência
wv10_kh_av,0.2570112761736072,0.3525695762659336,Relação Potência
wdir10_av,0.12737143940368503,0.12440819708745345,Relação Linear
wv100_k_av,0.2257401707658482,0.3890127277257783,Relação Potência
wdir100_av,0.12076348424634865,0.13303090032460893,Relação Potência
Recirc,-0.2194843317435928,-0.30260220737502225,Relação Potência
CircVar,-0.2121483438859085,-0.2837458193764256,Relação Potência
t_950_av,0.12280553134400686,0.09238244900058408,Relação Linear
t_850_av,0.06554134248092264,-0.016762291261309858,Relação Linear
t_700_av,0.04131424444932103,-0.12479083026041302,Relação Potência
t_500_av,0.015612347703411859,-0.05489855289024606,Relação Potência
t_300_av,0.06638089451649769,0.052255341141950025,Relação Linear
rh_950_av,-0.14099627163698064,-0.2774455612321322,Relação Potência
rh_850_av,-0.06560597675526911,-0.07924394508718671,Relação Potência
rh_700_av,0.0418001492413862,0.06762495786019011,Relação Potência
rh_500_av,0.052332984850486604,0.05914560524095855,Relação Potência
rh_300_av,0.07402084396889508,-0.05665306402340184,Relação Linear
wv_950_av,0.15856197465524455,0.3405522204673937,Relação Potência
wv_850_av,0.08684430079333856,0.20853674915997206,Relação Potência
wv_700_av,0.07119851811600492,0.19709633353826747,Relação Potência
wv_500_av,0.1330241617408969,0.25682547898158703,Relação Potência
wv_300_av,-0.010755518178957712,-0.06311007775342996,Relação Potência
wdi_950_av,0.13584304460617433,0.1127234988358088,Relação Linear
wdi_850_av,0.07208092192726354,0.07283039374269915,Relação Potência
wdi_700_av,0.10194351232007172,0.014825777301579782,Relação Linear
wdi_500_av,0.039478983023693175,0.005114278168926412,Relação Linear
wdi_300_av,0.05679188637560477,0.06359151875873816,Relação Potência
vwv_950_av,0.06678061065191898,0.05950486114385067,Relação Linear
vwv_850_av,0.02285058084694159,0.1389364551921935,Relação Potência
vwv_700_av,0.004267810689695773,0.07873545932308174,Relação Potência
vwv_500_av,-0.10151759510227945,-0.1275812785442436,Relação Potência
vwv_300_av,0.0020376103236991604,-0.061363213747400336,Relação Potência
gp_950_av,-0.06082594863127985,0.06396413485172517,Relação Potência
gp_850_av,-0.0069054537688659386,0.07440459824835353,Relação Potência
gp_700_av,0.021403329852166413,0.010191288662917346,Relação Linear
gp_500_av,0.02094718306253517,-0.05688538943815713,Relação Potência
gp_300_av,0.03825284496992238,-0.05508890465482281,Relação Potência
gT_s_9_av,-0.2118201525502901,-0.10688260637023782,Relação Linear
gT_9_8_av,-0.12134184393889791,-0.1435047529571029,Relação Potência
gT_8_7_av,-0.06104887193509802,-0.08598058324740772,Relação Potência
gT_7_5_av,-0.03375430000521713,0.044695074709999116,Relação Potência
