,AIQ,R2_log_ros_p,R2_ros_p,corr_log_ros_p,corr_ros_p,cv,entropy,kurtosis,max,max_entropy,mean,median,min,mode,mode2,mode2_freq,mode2_pct,mode_freq,mode_pct,n,n_missing,n_negative,n_positive,n_total,n_unique,n_zeros,normality_p,normality_stat,pct_complete,pct_missing,pct_negative,pct_positive,pct_unique,pct_zeros,q25,q75,range,rel_entropy,sem,shapiro_p,shapiro_stat,skewness,std,var,VIF,var_type
1_3y_fir_p,0.0,0.0012403521584815902,0.001222817264304683,-0.03521863368277637,-0.034968804158916886,496.5338912428668,,44.38700836766392,100.0,,2.256853000010328,0.0,0.0,,,,,,,3355,0,0.0,426.0,3355,,2929.0,0.0,3954.7104414125392,100.0,0.0,0.0,12.697466467958272,,87.30253353204172,0.0,0.0,100.0,,0.1934665587949307,2.1062433351290592e-80,0.20566448015573224,6.410000808889612,11.206040020582659,125.5753329429002,1.0012243143770618,numeric
3_8y_fir_p,0.1896473905626455,0.0006557419897067189,0.0006265528640136008,0.02560745964961614,0.025031038013106865,260.52776987862353,,7.606455151783573,100.0,,8.657301071649053,0.0,0.0,,,,,,,3355,0,0.0,856.0,3355,,2499.0,0.0,1982.1082676100593,100.0,0.0,0.0,25.514157973174367,,74.48584202682564,0.0,0.1896473905626455,100.0,,0.3893949193530199,4.534046845743115e-73,0.441012059679333,2.912643648280951,22.554673413645453,508.713292796205,1.000626945678624,numeric
8_ny_fir_p,96.64022325348049,0.023137448459975767,0.002349120039707818,0.15210998803489456,0.048467721626953106,79.38062904384154,,-1.6872285202361328,100.0,,52.433898800667805,61.77215189873417,0.0,,,,,,,3355,0,0.0,2448.0,3355,,907.0,0.0,15183.268302055843,100.0,0.0,0.0,72.96572280178837,,27.034277198211626,0.0,96.64022325348049,100.0,,0.7185887692585311,1.4134617602938186e-52,0.8123647806360554,-0.16094430146899097,41.62235870018139,1732.420743766565,1.0023546513984944,numeric
BLH_m_av,798.7917886581606,0.06172321216435465,0.02876288899091977,0.24844156690126282,0.16959625287994948,83.87159464310027,,1.3427428722740817,3393.548505859384,,763.6817747595259,541.5076222392659,14.650132637023953,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,9.072623268144248e-74,336.3720708690741,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,312.5165889212971,1111.3083775794578,3378.89837322236,,15.543845956620261,5.013063683150787e-34,0.8825735154467368,1.2676832111011662,640.5120824895436,410255.7278150919,1.0296146931216787,numeric
BLH_m_rt,178.07521117392443,0.022266827968013266,0.014171820844440217,-0.14922073571730327,-0.11904545705082667,439.61469510037887,,5.3831154446509695,2414.4026662705037,,90.14257948472434,104.87196053818033,-999.0,,,,,,,1698,1657,138.0,1560.0,3355,,0.0,9.451309846055023e-70,317.8696063392692,50.61102831594635,49.38897168405365,4.113263785394933,46.497764530551414,,0.0,34.99219065170644,213.06740182563087,3413.4026662705037,,9.616861020365949,6.273186717006146e-46,0.733338603217444,-0.6944450623436835,396.2800259573875,157037.8589727877,1.0143755485429313,numeric
CBH_m_av,4100.1682754175,0.0003433937709131289,0.0012490670055664477,-0.018530886943509448,0.0353421420625073,122.00464591767826,,-0.0830707253030809,11352.208281249976,,2308.579417111177,610.8079244397029,-1.0,,,,,,,1698,1657,816.0,882.0,3355,,0.0,9.440612391409008e-44,198.1374464834268,50.61102831594635,49.38897168405365,24.321907600596127,26.289120715350222,,0.0,-1.0,4099.1682754175,11353.208281249976,,68.35217603228035,2.443709351190953e-41,0.8027377333968357,0.9826409630618289,2816.574143574892,7933089.906254635,1.0012506291251428,numeric
CCL_hPa_av,146.8681530766262,0.005431090306899218,0.009232476127840186,-0.07369593141347233,-0.096085774846437,16.83635835202078,,-0.6064712417333826,949.9884884343774,,731.5456046692495,707.7428087932562,441.5420052208168,,,,,,,1698,1657,0.0,1698.0,3355,,0.0,4.302092864334126e-18,79.97486011392728,50.61102831594635,49.38897168405365,0.0,50.61102831594635,,0.0,654.0995777587839,800.9677308354101,508.44648321356055,,2.988964267871104,5.19210961493931e-26,0.9381677687481482,0.2968778315195643,123.1656395105721,15169.774756048202,1.0093185090401,numeric
CMLG_av,0.8378113744584137,0.015334307112439141,0.010734543586732335,0.1238317693988063,0.10360764251121794,41.758543822169585,,-0.21827269355105328,3.331496333864177,,1.5054954593934085,1.4978070971905275,-0.085039705359199,,,,,,,1698,1657,1.0,1697.0,3355,,0.0,0.0025527491133191843,11.941168833744136,50.61102831594635,49.38897168405365,0.029806259314456036,50.581222056631894,,0.0,1.0727717841266384,1.9105831585850521,3.4165360392233763,,0.015256536517043397,3.075419705547e-05,0.9952258371042829,0.16733000160707004,0.6286729811515698,0.39522971723000205,1.01085102438091,numeric
Cape_av,69.31917285223358,0.0534324044075938,0.03257209961807887,-0.23115450332535986,-0.18047742135258601,218.5399711121096,,7.978144515137225,1272.1249999999118,,98.57041328029644,0.040446702804761,0.0,,,,,,,1698,1657,0.0,895.0,3355,,803.0,2.9779318940146805e-217,997.1394722308278,50.61102831594635,49.38897168405365,0.0,26.67660208643815,,23.934426229508198,0.0,69.31917285223358,1272.1249999999118,,5.227675430736061,3.1799102182600744e-55,0.5304244844083101,2.816064105757036,215.41575270784688,46403.94651468824,1.033668761884188,numeric
Cin_av,0.0,0.009679505588633468,0.0038546556830736925,0.09838447839285153,0.062085873458248876,-740.7949472651782,,68.82180257888027,1.0,,-6.531668580805722,1.0,-609.6072793043791,,,,,,,1698,1657,78.0,1620.0,3355,,0.0,0.0,2318.789878399983,50.61102831594635,49.38897168405365,2.324888226527571,48.28614008941878,,0.0,1.0,1.0,610.6072793043791,,1.1742303706405248,5.008477538790443e-66,0.14530547811941696,-7.87079014668475,48.386270818715964,2341.2312037421243,1.0038695715490362,numeric
CircVar,0.0210723061326775,0.0825706573937155,0.0468454848558443,-0.2873511047372456,-0.2164381779073283,-791.304316658453,,5.545833783174779,0.98163591281661,,-0.03887461205850961,0.0031372910301930004,-1.0,,,,,,,1698,1657,138.0,1560.0,3355,,0.0,1.704392112861674e-164,754.1814934718133,50.61102831594635,49.38897168405365,4.113263785394933,46.497764530551414,,0.0,0.00034175690093525,0.02141406303361275,1.9816359128166101,,0.007465188184425024,2.714688310185626e-55,0.5285468777997759,-2.1331708069328226,0.307616483303214,0.09462790079983655,1.0491478392134137,numeric
