,mean,median,std,var,q05,q25,q75,q95,min,max,AIQ,skewness,kurtosis,n_zeros,n_negative,normality_p,n_unique,mode,mode_freq,mode_pct,n_missing,pct_missing,corr_ros_p,R2_ros_p,VIF,var_type
1_3y_fir_p,1.343114246008216,1.502260389793535,2.1289301609159725,4.532343630057708,-2.3038984111120366,-0.12681578135879926,3.136917399008272,4.425669269346747,-4.888693623291039,4.605170185988092,3.2637331803670713,-0.36780881265817084,-0.5479940717391854,0.0,117.0,6.867214828400925e-05,,,,,2929.0,87.30253353204172,-0.33078316155069415,0.10941749996547262,1.1228605996201706,numeric
3_8y_fir_p,2.64337607692981,3.0635852203337537,1.695263680699096,2.8739189470974464,-0.6058408650017705,1.5326389475374773,4.046761158239748,4.605170185988092,-4.199905057882595,4.605170185988092,2.5141222107022703,-0.9234118626434228,0.460293506759085,0.0,68.0,8.119566391838476e-22,,,,,2499.0,74.48584202682564,-0.18886765238274172,0.035670990116568164,1.0369904770581153,numeric
8_ny_fir_p,4.043799733845706,4.433445209262199,0.9261060667377216,0.8576724468484132,2.2053962381570824,3.912023005428146,4.605170185988092,4.605170185988092,-1.943048916774282,4.605170185988092,0.6931471805599458,-2.6836303527611642,8.41009870277285,0.0,22.0,5.640080961143647e-303,,,,,907.0,27.034277198211626,-0.08057856574276284,0.006492905257160754,1.0065353385914586,numeric
BLH_m_av,6.197370142099003,6.294355576518483,1.0942040419083374,1.1972824853285429,3.8299600612198863,5.74465695181032,7.013292967758355,7.636548553051576,2.684449390445794,8.12963140883795,1.2686360159480348,-0.9553673324076503,0.7803546734768787,0.0,0.0,4.613886874287952e-47,,,,,1657.0,49.38897168405365,0.24834714879308467,0.06167630631365454,1.065730308984685,numeric
BLH_m_rt,4.5433910924340735,4.795171479547368,1.3643439006137466,1.8614342791419327,1.9760560090319477,3.865895176296954,5.432648096113491,6.377930817081285,-2.319052566971794,7.789206971768142,1.5667529198165369,-0.9689939749675411,1.705961953575931,0.0,12.0,5.779979728405677e-53,,,,,1795.0,53.50223546944859,0.05271891974750476,0.0027792844993438474,1.0027870304498723,numeric
CBH_m_av,8.185821951237084,8.298618333124095,0.7953625694044119,0.6326016168095878,6.604787847401433,7.965015976742586,8.683736064589691,9.096414360443223,3.756114991683299,9.33716754212272,0.7187200878471058,-2.0432973228969935,6.459136002678715,0.0,0.0,2.7733620631990628e-87,,,,,2473.0,73.71087928464978,0.14054972233425758,0.019754224448236903,1.0201523178583634,numeric
CCL_hPa_av,6.5827878450604205,6.567312575284755,0.17916182259105298,0.03209895867414794,6.269351416109233,6.467275364031716,6.758427683931529,6.850734558655815,6.1180454046227,6.856459897408344,0.2911523198998136,-0.14546355976808173,-0.5839745005683112,0.0,0.0,7.456926027387644e-13,,,,,1657.0,49.38897168405365,-0.11609904564427068,0.013478988399510446,1.0136631538923258,numeric
CMLG_av,0.28806044705068584,0.404143123942358,0.5806532563616715,0.3371582041234131,-0.6844363087655633,0.070628949429463,0.647521129164116,0.9684460127384166,-5.867614884825926,1.203421551742629,0.576892179734653,-2.5013809285678836,13.740915278675773,0.0,375.0,8.375475947507475e-220,,,,,1658.0,49.418777943368106,0.14791295096992974,0.021878241064632837,1.0223676049170465,numeric
Cape_av,2.782387156944208,4.05722090090364,5.182431954362082,26.85760096159319,-3.2367028461437664,1.8944933878652246,5.582269664491351,6.715085880796521,-34.538776394910684,7.148444009512096,3.6877762766261264,-4.2627817350070405,23.36044563076821,1.0,139.0,2.6561631930379704e-178,,,,,2460.0,73.32339791356185,-0.20734745463995213,0.04299296694566701,1.044924400198453,numeric
Cin_av,5.317944249569392,6.046878216761526,1.3715878942739002,1.8812533517187113,2.193289562597849,4.657707251667498,6.332480105814917,6.609023285346661,1.11524062220712,6.764615724218099,1.6747728541474194,-1.3160941704116889,1.187430400012306,0.0,0.0,3.0933488243839534e-05,,,,,3274.0,97.58569299552906,0.1970508579493924,0.03882904061859162,1.0403976423128527,numeric
