,n,n_total,n_missing,pct_missing,pct_complete,mean,median,std,var,sem,cv,min,max,range,q01,q05,q10,q25,q75,q90,q95,q99,AIQ,qcd,skewness,kurtosis,n_zeros,pct_zeros,n_negative,pct_negative,n_positive,pct_positive,n_outliers,pct_outliers,normality_stat,normality_p,shapiro_stat,shapiro_p,n_unique,pct_unique,mode,mode_freq,mode_pct,mode2,mode2_freq,mode2_pct,entropy,max_entropy,rel_entropy,corr_ros_p,R2_ros_p,corr_n,corr_p_value,anova_p_value,VIF,corr_log_ros_p,R2_log_ros_p,corr_log_n,corr_log_ros_p_value,anova_log_ros_p_value,VIF_log_ros_p,var_type
1_3y_fir_p,1177.0,1177.0,0.0,0.0,100.0,2.1353667720664506,0.0,9.35409199704786,87.49903708923483,0.27265496180733706,438.0555190523855,0.0,95.55921052631578,95.55921052631578,0.0,0.0,0.0,0.0,0.0,2.304023732799876,10.037735849056613,53.39106241858072,0.0,,6.1553840870018295,42.38037794302934,939.0,79.77909940526763,0.0,0.0,238.0,20.22090059473237,238.0,20.22090059473237,1383.5051304029453,3.764246806088413e-301,0.24186139109152383,3.422666901628863e-56,,,,,,,,,,,,-0.05823497838484366,0.003391312707483208,1173.0,0.04614540742113386,,1.00340285284558,-0.09405073966598892,0.008845541631719623,1173.0,0.001260306947638317,,1.0089244835222573,numeric
3_8y_fir_p,1177.0,1177.0,0.0,0.0,100.0,10.104317648965374,0.0,21.631474887556976,467.92070581100813,0.6305185966916508,214.08150098855927,0.0,100.0,100.0,0.0,0.0,0.0,0.0,6.130177514792899,40.95097003046033,67.01366355677126,91.95161833873027,6.130177514792899,1.0,2.471672315354807,5.365722164128831,719.0,61.0875106202209,0.0,0.0,458.0,38.912489379779096,220.0,18.69158878504673,589.2861782866416,1.0917727594401777e-128,0.5392676574209352,5.336050305825113e-48,,,,,,,,,,,,0.0015668488598359056,2.4550153495690773e-06,1173.0,0.9572491056526992,,1.0000024550213766,-0.0007692071629503072,5.916796595340604e-07,1173.0,0.9790048468288521,,1.0000005916800097,numeric
8_ny_fir_p,1177.0,1177.0,0.0,0.0,100.0,59.05758427821154,71.42857142857143,37.25632642203483,1388.0338584652109,1.0859549233519918,63.08474496099568,0.0,100.0,100.0,0.0,0.0,0.0,23.18075117370892,94.80181936322288,100.0,100.0,100.0,71.62106818951395,0.6070478704063714,-0.44265701123790246,-1.3532877715910054,160.0,13.593882752761258,0.0,0.0,1017.0,86.40611724723874,0.0,0.0,16268.644080269496,0.0,0.8561306661036323,1.890364032656809e-31,,,,,,,,,,,,-0.055394326293816104,0.003068531385545766,1173.0,0.0578756289403138,,1.00307797625228,-0.07413282604888254,0.005495675897993877,1173.0,0.011092539809684153,,1.0055260452516948,numeric
BLH_m_av,1177.0,1177.0,0.0,0.0,100.0,817.5917062398083,578.4643310546875,672.7400324885393,452579.1513126809,19.60916227062107,82.2831282844762,14.650132656097412,3393.5485026041665,3378.898369948069,22.554891309418352,52.197021102905275,122.0970355987549,341.1169961375671,1196.0350494384766,1778.5499808290635,2215.5490850932956,2864.727138376657,854.9180533009094,0.5561701301841816,1.1824521108529586,0.9889054080419344,0.0,0.0,0.0,0.0,1177.0,100.0,40.0,3.3984706881903146,204.37410585367772,4.1756759855092375e-45,0.8906588310450172,4.460801170372579e-28,,,,,,,,,,,,0.1543949306684453,0.023837794616114034,1173.0,1.0716079295349035e-07,,1.024419911449798,0.26568333796018234,0.07058763606966446,1173.0,2.111077103390444e-20,,1.0759486733866555,numeric
BLH_m_rt,1065.0,1177.0,112.0,9.515717926932881,90.48428207306712,194.61344146611046,124.126748818941,244.32385224770582,59694.144777158785,7.4867109044189935,125.54315385777288,0.098366737365723,2414.4021337379463,2414.3037670005806,1.211729227293045,7.92884459055392,19.585916251020027,50.64660743900106,244.2672392621546,457.90205688476567,640.0965432877895,1266.8864061428137,193.62063182315353,0.6565328620170034,3.509678729137785,18.682933460201102,0.0,0.0,0.0,0.0,1065.0,90.48428207306712,71.0,6.666666666666667,836.2119795397236,2.623468127055637e-182,0.6693953301500666,3.009543340013355e-41,,,,,,,,,,,,0.04255197606763571,0.001810670667260642,1061.0,0.16604059993425982,,1.001813955142629,0.05449624410262553,0.002969840621292948,1061.0,0.07600824138435766,,1.0029786868464876,numeric
CBH_m_av,611.0,1177.0,566.0,48.08836023789295,51.91163976210705,4602.761330069393,4101.4295654296875,2370.684626398314,5620145.597841314,95.90763421587432,51.50570399796447,42.78189468383789,11352.2080078125,11309.426113128662,157.3999427642324,937.0744739225049,1861.8732326670417,3019.8397216796875,5947.82036000734,8402.118760850695,9056.991455078125,10316.136954626403,2927.9806383276527,0.32650441828263754,0.5411082195403342,-0.25095960895639813,0.0,0.0,0.0,0.0,611.0,51.91163976210705,5.0,0.8183306055646482,28.765181855960982,5.671789764115016e-07,0.9614809418640243,1.4455995024890948e-11,,,,,,,,,,,,0.13482925638609716,0.018178928377627922,607.0,0.0008678077625572531,,1.0185155207023504,0.10298469729696694,0.01060584787734791,607.0,0.011123482152254636,,1.0107195376631184,numeric
CCL_hPa_av,1177.0,1177.0,0.0,0.0,100.0,732.2628789603056,708.817674613331,131.0103884965321,17163.721894012273,3.8187172504995393,17.891168904061555,453.9764863968642,949.9980171751388,496.0215307782746,470.5334838870947,528.1073683438664,581.3294941381344,640.2156870086383,866.4430540978097,929.3577749050327,940.9590147530992,949.8380788680638,226.22736708917148,0.15015169720718338,0.23301720995867722,-0.9118343513691625,0.0,0.0,0.0,0.0,1177.0,100.0,0.0,0.0,174.9276340243472,1.0350156233216138e-38,0.9346298648664954,2.6833236043503135e-22,,,,,,,,,,,,-0.09345268920986574,0.008733405120555756,1173.0,0.0013540479690347064,,1.0088103494717462,-0.10056323509512373,0.010112964252797126,1173.0,0.0005620959488386345,,1.0102162811387498,numeric
CMLG_av,1177.0,1177.0,0.0,0.0,100.0,1.5439476104268428,1.527933112666384,0.6193237229286455,0.3835618737821976,0.01805217289660826,40.11300116313053,-0.085039751898509,3.331496331094942,3.416536082993451,0.20539644316473854,0.5668770743191638,0.75532016473767,1.113558033071411,1.9392808341882,2.4059152699356563,2.652168646634526,3.054564550765325,0.825722801116789,0.2704770336791477,0.21875639686101034,-0.18993080035422238,0.0,0.0,1.0,0.08496176720475786,1176.0,99.91503823279524,6.0,0.5097706032285472,11.264956736089115,0.0035796925288838497,0.9943041801351513,0.0001869381794237844,,,,,,,,,,,,0.08096453963669083,0.00655525667858128,1173.0,0.005527623126180104,,1.0065985116159202,0.09615347536446735,0.009245490824665229,1173.0,0.0009761909435350219,,1.0093317675963551,numeric
Cape_av,1177.0,1177.0,0.0,0.0,100.0,92.3368574484205,0.007497383293764,207.63363165071198,43111.72499246355,6.052147009619999,224.8653867895563,0.0,1272.125,1272.125,0.0,0.0,0.0,0.0,55.31400129646063,320.9857194007083,565.1552225748699,988.5840014648438,55.31400129646063,1.0,2.955924062258283,9.181203674972208,567.0,48.17332200509771,0.0,0.0,610.0,51.82667799490229,223.0,18.946474086661002,739.2621017820104,2.9598810479827184e-161,0.5175960822168282,9.977569215107647e-49,,,,,,,,,,,,-0.1860475704336506,0.03461369846426419,1173.0,1.3510845183258616e-10,,1.0358547644701408,-0.2550936479662802,0.06507276923274449,1173.0,7.016340930226768e-19,,1.0696019616193466,numeric
Cin_av,44.0,1177.0,1133.0,96.26168224299066,3.7383177570093453,-205.59227709154126,-173.92571346321733,172.72173486536826,29832.79769490257,26.03878125853059,-84.0117816237148,-609.6072812509314,0.949928925036253,610.5572101759676,-609.5094408708921,-488.6846075696998,-447.38369239863937,-316.5789887321462,-52.444357284136075,-11.491400619924628,-1.0530425495791913,0.5797646429252657,264.1346314480101,-0.7157667239740323,-0.6462776345288295,-0.410265156865945,0.0,0.0,42.0,3.5683942225998297,2.0,0.16992353440951571,0.0,0.0,3.513510100092009,0.17260404756696066,0.9231989963737324,0.006098636417334776,,,,,,,,,,,,0.044091419791925754,0.0019440532992678222,44.0,0.7762664016763272,,1.0019478400040542,0.010611908856104446,0.00011261260957026797,44.0,0.9454936104425677,,1.0001126252925985,numeric
