,n,n_total,n_missing,pct_missing,pct_complete,mean,median,std,var,sem,cv,min,max,range,q01,q05,q10,q25,q75,q90,q95,q99,AIQ,qcd,skewness,kurtosis,n_zeros,pct_zeros,n_negative,pct_negative,n_positive,pct_positive,n_outliers,pct_outliers,normality_stat,normality_p,shapiro_stat,shapiro_p,n_unique,pct_unique,mode,mode_freq,mode_pct,mode2,mode2_freq,mode2_pct,entropy,max_entropy,rel_entropy,corr_ros_p,R2_ros_p,corr_n,corr_p_value,anova_p_value,VIF,corr_log_ros_p,R2_log_ros_p,corr_log_n,corr_log_ros_p_value,anova_log_ros_p_value,VIF_log_ros_p,var_type
1_3y_fir_p,765.0,765.0,0.0,0.0,100.0,2.647929705380602,0.0,10.000581717673667,100.01163469186878,0.36157179507797194,377.6754986113284,0.0,88.98601398601399,88.98601398601399,0.0,0.0,0.0,0.0,0.0,4.565889029003784,16.188933607925442,55.78704792607414,0.0,,5.1989540066485995,29.974606984245145,592.0,77.38562091503269,0.0,0.0,173.0,22.61437908496732,173.0,22.61437908496732,809.7212744514047,1.483403546708851e-176,0.2924226079501554,5.801252692726232e-47,,,,,,,,,,,,-0.1262885934326342,0.015948808831193182,765.0,0.000463019518175387,,1.0162072958950947,-0.1470462661210377,0.021622604380139035,765.0,4.4522973640313276e-05,,1.0221004741901665,numeric
3_8y_fir_p,765.0,765.0,0.0,0.0,100.0,13.044490446056178,0.0,24.62480199999287,606.3808735388528,0.8903115952587022,188.77549952468888,0.0,100.0,100.0,0.0,0.0,0.0,0.0,14.230052515669996,52.95898910411624,74.67548810452627,96.36323818185156,14.230052515669996,1.0,1.9989001587013597,2.9575533096517295,467.0,61.04575163398693,0.0,0.0,298.0,38.954248366013076,125.0,16.33986928104575,289.6672282211089,1.2576523240113473e-63,0.6010887097200646,1.3283547358084088e-38,,,,,,,,,,,,-0.019369138615400565,0.0003751635307026013,765.0,0.5927203509084168,,1.0003753043312005,-0.03320865039627261,0.001102814461141857,765.0,0.359008020945399,,1.001104032003601,numeric
8_ny_fir_p,765.0,765.0,0.0,0.0,100.0,53.90094322650617,61.60029912133109,37.975293784376504,1442.122938009705,1.3729996444071273,70.45385759724866,0.0,100.0,100.0,0.0,0.0,0.0,14.065934065934066,91.65673420738975,100.0,100.0,100.0,77.59080014145567,0.733908833447723,-0.22522887916415552,-1.5236381357382693,125.0,16.33986928104575,0.0,0.0,640.0,83.66013071895425,0.0,0.0,5428.374092504373,0.0,0.8660691357841253,4.924604124392219e-25,,,,,,,,,,,,-0.003118715064580403,9.726383654040746e-06,765.0,0.9313721751089915,,1.0000097264782575,-0.01120696585684176,0.00012559608371641697,765.0,0.7569623475206566,,1.000125611860074,numeric
BLH_m_av,765.0,765.0,0.0,0.0,100.0,870.5265311998168,698.1763024902542,629.8564275587444,396719.1193370638,22.77250719839028,72.35350158606137,14.650132637023953,3393.548505859384,3378.89837322236,32.24169925471768,116.92767781511697,192.12552795860648,380.7066989135646,1262.3702050781446,1734.335029296872,2022.3941938476537,2728.2980419412993,881.66350616458,0.5365929641045144,1.003379226074971,0.6787845795415866,0.0,0.0,0.0,0.0,765.0,100.0,13.0,1.6993464052287581,102.34054161491109,5.984581019165543e-23,0.9204754139128742,1.2227888235525234e-19,,,,,,,,,,,,0.25296154866353326,0.0639895451022531,765.0,1.2391579855640773e-12,,1.0683641350023634,0.2905978329429676,0.0844471005111489,765.0,2.363333968342422e-16,,1.0922361783336554,numeric
BLH_m_rt,675.0,765.0,90.0,11.76470588235294,88.23529411764706,184.89280665158321,131.06405110677193,188.4824343352891,35525.62805295656,7.254692280066341,101.94146421849189,0.098366546630984,1362.0542431640697,1361.9558766174387,4.614502952543959,17.41463863866946,31.239530443194578,64.4853208653972,231.61549878344397,402.55899748223777,564.4926245941549,889.891202343716,167.13017791804677,0.564436728396273,2.480845268315969,8.106880139268178,0.0,0.0,0.0,0.0,675.0,88.23529411764706,46.0,6.814814814814815,374.2908106222545,5.293990526816783e-82,0.753883069332614,1.6925575320258586e-30,,,,,,,,,,,,0.07281944313033403,0.005302671297811952,675.0,0.05863648891053847,,1.0053309395177832,0.06927755752655479,0.004799379976845108,675.0,0.072064685093626,,1.0048225251072829,numeric
CBH_m_av,292.0,765.0,473.0,61.830065359477125,38.169934640522875,4102.596786731114,3465.3506603944,2606.4776373172544,6793725.673834937,152.53256640633572,63.532386261971794,42.78189392089698,11352.208281249976,11309.426387329078,91.07953043211931,466.94564488859896,1256.1143415770587,2495.1514902740037,4923.7894695534,8556.850053695587,9395.889468085565,10371.236164748289,2428.637979279396,0.32735642356909883,0.8200200836957545,0.020393767830543474,0.0,0.0,0.0,0.0,292.0,38.169934640522875,30.0,10.273972602739725,26.82966401269628,1.4928373212206714e-06,0.9284477957053721,1.2246258557384556e-10,,,,,,,,,,,,0.11986595338885497,0.014367846781819153,292.0,0.04067083518613886,,1.0145772910663544,0.1262255676853804,0.01593289393749655,292.0,0.031058408202731716,,1.0161908612119432,numeric
CCL_hPa_av,765.0,765.0,0.0,0.0,100.0,744.3678591796005,718.8830537100866,142.21897281467272,20226.236228460617,5.141937813864328,19.10600666872134,441.5420052208168,949.9837475198747,508.44174229905786,470.69505307646097,521.0434521113117,570.023692660409,631.6066711945734,916.0206868338809,935.7508117304161,945.9340453423853,949.9174765407837,284.4140156393074,0.18377422327402296,0.084677803968041,-1.2447828883055032,0.0,0.0,0.0,0.0,765.0,100.0,0.0,0.0,780.453357751744,3.362843625338529e-170,0.9186169079285178,7.295974888222993e-20,,,,,,,,,,,,0.009655567153083442,9.322997704770389e-05,765.0,0.7897545888753275,,1.0000932386696868,0.003488176932683124,1.2167378313702646e-05,765.0,0.9232658417852371,,1.0000121675263605,numeric
CMLG_av,765.0,765.0,0.0,0.0,100.0,1.5140137161833194,1.486153429971325,0.6259581519889996,0.3918236080414836,0.022631564747715608,41.344285411560136,-0.085039705359199,3.331496333864177,3.4165360392233763,0.20060857065517693,0.5638572586644058,0.757287379082213,1.07776381746401,1.878914856321609,2.4055303315889773,2.7011891254086042,3.10549000885548,0.8011510388575989,0.2709631743079594,0.39487126570028813,0.03675249723118679,0.0,0.0,1.0,0.130718954248366,764.0,99.86928104575163,11.0,1.4379084967320261,18.906825943233244,7.842145780084327e-05,0.9859049766197359,9.97665122539318e-07,,,,,,,,,,,,0.033738572847561855,0.001138291297790238,765.0,0.3513870682221129,,1.0011395884814416,0.055513536127832115,0.0030817526934161215,765.0,0.12500483004184515,,1.0030912792515758,numeric
Cape_av,765.0,765.0,0.0,0.0,100.0,38.56069881154724,0.0,121.00781761099535,14642.891922975914,4.375046878998278,313.81126727599343,0.0,1116.2528141402213,1116.2528141402213,0.0,0.0,0.0,0.0,10.429999999999655,94.42881122567097,206.94532068801138,668.0926176781887,10.429999999999655,1.0,4.883504081791945,27.496749138646774,428.0,55.947712418300654,0.0,0.0,337.0,44.052287581699346,151.0,19.73856209150327,775.0470381454272,5.019657193779157e-169,0.35817029181550364,1.762690598493879e-45,,,,,,,,,,,,-0.07057799108595282,0.004981252825728836,765.0,0.05101750368834714,,1.005006189923431,-0.1004069895286144,0.010081563546199282,765.0,0.005442487241790443,,1.0101842365743936,numeric
Cin_av,18.0,765.0,747.0,97.6470588235294,2.3529411764705883,-171.90694566585216,-167.02860416776844,150.1698816633108,22550.993358772772,35.395380551369485,-87.35533115410401,-466.8846762396554,0.949929045741075,467.8346052853965,-455.83175811545095,-411.62008561863314,-379.21995946682847,-250.71483523341476,-54.71370029485131,-4.504749514898577,0.21812266115930531,0.8035677688247198,196.00113493856344,-0.6417250261163774,-0.592834498516344,-0.8278759042990527,0.0,0.0,16.0,2.091503267973856,2.0,0.261437908496732,0.0,0.0,2.0469005008254646,0.3593529411677936,0.9102250998989524,0.08682320556537246,,,,,,,,,,,,0.03658527677279248,0.0013384824765418292,18.0,0.8854039263394946,,1.0013402764130344,0.04157099605895232,0.0017281477133334294,18.0,0.8699052645261849,,1.0017311393778907,numeric
CircVar,675.0,765.0,90.0,11.76470588235294,88.23529411764706,0.04879224495298927,0.004922912691319,0.11668368214356686,0.013615081678580946,0.004491157019708337,239.14390956183746,2.3121471e-08,0.911762125843,0.911762102721529,5.0440641704e-07,1.59543102415e-05,6.894400234940001e-05,0.0006103546957155,0.0300580215422085,0.12518924165246648,0.31687507413724375,0.5708643814751693,0.029447666846493,0.9601964778975977,3.696216911403693,14.986958282973088,0.0,0.0,0.0,0.0,675.0,88.23529411764706,105.0,15.555555555555555,541.8408361683689,2.191580316081377e-118,0.4647102240363373,9.98305126462861e-41,,,,,,,,,,,,-0.21214834388590842,0.045006919813533657,675.0,2.6211277897294762e-08,,1.0471280062099988,-0.2504303506490482,0.06271536052620522,675.0,4.118211255729754e-11,,1.0669117553888587,numeric
DC_12h_av,765.0,765.0,0.0,0.0,100.0,752.208250506807,760.7751667802855,185.52213215375164,34418.461518874086,6.70756684393443,24.663666215938797,78.04291462852517,1170.8256889614715,1092.7827743329465,294.8346189778798,472.53671578387156,506.0073881866885,626.9380920387723,854.8373434219831,1023.9450433572454,1081.0728194276567,1138.0747013794962,227.89925138321075,0.15380147755813342,-0.10730223401970605,0.07168735455553676,0.0,0.0,0.0,0.0,765.0,100.0,2.0,0.261437908496732,1.7140732270408916,0.42441793498051084,0.9871646589386762,3.0251111270206213e-06,,,,,,,,,,,,0.12454102762292457,0.015510467561374062,765.0,0.0005555168725943818,,1.0157548323779064,0.14972037236724364,0.022416189901786093,765.0,3.214026445837975e-05,,1.0229301975648861,numeric
EL_m_av,67.0,765.0,698.0,91.24183006535948,8.758169934640522,6.847372928098656,7.143634788495889,1.5295232566285903,2.339441392567729,0.1868610063923613,22.337373364784742,0.966608020109841,9.119883581265432,8.15327556115559,0.9957712756666414,4.39038970489892,5.844839502843837,6.136393217281331,7.708695434497172,8.287586570461547,8.706022148107852,9.093073383548827,1.5723022172158414,0.11356389668287661,-1.9291702230447947,5.630268341390481,0.0,0.0,0.0,0.0,67.0,8.758169934640522,3.0,4.477611940298507,40.20753584340188,1.8579949366853045e-09,0.8300338005089591,2.642224219579989e-07,,,,,,,,,,,,0.18532100384672034,0.03434387446675614,67.0,0.13324959642721532,,1.0355653255425592,0.20885390002937365,0.0436199515574796,67.0,0.08986091913196359,,1.0456094328070888,numeric
FFMC_12h_a,765.0,765.0,0.0,0.0,100.0,93.39254281070373,93.89907897784218,2.6320067175845248,6.927459361410065,0.09516040370456491,2.8182193549642487,75.20362339659026,98.64789748792484,23.444274091334577,82.63766350162693,88.79058271755848,90.373795209521,92.24410201005004,94.94546599009118,96.0468798428409,96.74229290212266,97.82139232975791,2.701363980041137,0.014431167339619584,-1.6454310170039539,5.667048322668759,0.0,0.0,0.0,0.0,765.0,100.0,30.0,3.9215686274509802,284.047535149518,2.088629670462433e-62,0.8970785904034424,3.20378601423474e-22,,,,,,,,,,,,0.05313241167683546,0.002823053170596721,765.0,0.1420488175975575,,1.0028310453621825,0.07351899659327155,0.005405042860081474,765.0,0.04206652420667503,,1.0054344161120867,numeric
FWI_12h_av,765.0,765.0,0.0,0.0,100.0,48.35194558285784,47.731246420213594,11.700044773363889,136.89104769871963,0.4230160115307673,24.197671122280326,8.397225001543923,87.28842620925589,78.89120120771196,22.92564030947895,31.084431180416832,34.593943985345156,40.54808178887531,56.35432857344151,62.63431431586264,68.98086025765836,83.03044045006328,15.806246784566198,0.1631151044175976,0.29132520532004574,0.5035723934244576,0.0,0.0,0.0,0.0,765.0,100.0,13.0,1.6993464052287581,16.41296574726963,0.00027287878465496595,0.9893575535026307,2.393303747091624e-05,,,,,,,,,,,,0.15175025629204203,0.023028140284700443,765.0,2.5002882817383763e-05,,1.023570935084467,0.1676163463614764,0.028095239567570426,765.0,3.1395048447198738e-06,,1.028907399892835,numeric
HDW_av,765.0,765.0,0.0,0.0,100.0,27836.00493136929,24695.00219099404,18655.42794779488,348024991.91536623,674.4884209196828,67.01905677122322,513.4370825102054,111052.2734375,110538.83635498979,1817.6092337538507,4160.959046758368,5646.866547045597,13744.817766462054,37755.972535563655,53158.9044960752,60584.286051504416,89798.0390625,24011.154769101602,0.466228860339589,0.9999564874181852,1.2596885281051695,0.0,0.0,0.0,0.0,765.0,100.0,17.0,2.2222222222222223,114.60111791011227,1.3022172255821743e-25,0.9371045169231884,1.9363764047645237e-17,,,,,,,,,,,,0.3654078683851806,0.13352291027780144,765.0,1.4075893915605392e-25,,1.1540986044081216,0.3961743059503069,0.15695408069520736,765.0,3.731607401356765e-30,,1.1861750079101712,numeric
Haines_av,765.0,765.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.261437908496732,4.0,724.0,94.64052287581698,2.0,41.0,5.359477124183006,0.3014753435439591,1.0,0.3014753435439591,0.01139639175860818,0.00012987774511567245,765.0,,0.7529868573885456,1.0001298946155355,0.017895749184399973,0.00032025783887095226,765.0,,0.6211634178335371,1.000320360436812,categorical
HigCC_p_av,765.0,765.0,0.0,0.0,100.0,16.3087355880951,0.032958984375,29.44751053257231,867.155876565957,1.0646769902417685,180.56280558051435,0.0,100.0,100.0,0.0,0.0,0.0,0.0,15.7964877131003,82.2099949181011,89.4076655699026,98.72707510537353,15.7964877131003,1.0,1.801135070679951,1.765965413041107,363.0,47.45098039215686,0.0,0.0,402.0,52.54901960784314,129.0,16.862745098039216,238.61833764941346,1.5299820617414856e-52,0.6065949089091354,2.0677143816495878e-38,,,,,,,,,,,,0.10634770833776272,0.011309835068693846,765.0,0.003229778916847653,,1.0114392106545125,0.10167214986019596,0.010337226057194145,765.0,0.004880585356386046,,1.0104452004555156,numeric
LCL_hPa_av,765.0,765.0,0.0,0.0,100.0,761.745544702466,761.7442484708453,82.22111933002526,6760.312463882255,2.9727108431041236,10.79377751557975,560.1552147888625,962.3036966231905,402.148481834328,611.2815316023274,633.010813599931,646.7408393135887,699.0835324189856,825.5813383534744,866.6501261358432,896.1161552224117,932.9312071623511,126.49780593448884,0.08296761364377714,0.048706352992724494,-0.8176615817137343,0.0,0.0,0.0,0.0,765.0,100.0,0.0,0.0,67.55368221966626,2.1424184014156812e-15,0.9844691326116518,2.9961585000577143e-07,,,,,,,,,,,,-0.2056918850220196,0.04230915156391173,765.0,9.392197802045809e-09,,1.0441782978640786,-0.25042717087915045,0.06271376791453522,765.0,2.1038089376052667e-12,,1.0669099425209703,numeric
