,AIQ,R2_log_ros_p,R2_ros_p,corr_log_ros_p,corr_ros_p,cv,entropy,kurtosis,max,max_entropy,mean,median,min,mode,mode2,mode2_freq,mode2_pct,mode_freq,mode_pct,n,n_missing,n_negative,n_positive,n_total,n_unique,n_zeros,normality_p,normality_stat,pct_complete,pct_missing,pct_negative,pct_positive,pct_unique,pct_zeros,q25,q75,range,rel_entropy,sem,shapiro_p,shapiro_stat,skewness,std,var,VIF,var_type
1_3y_fir_p,0.0,0.008219257767410984,0.008640827483601173,-0.09066012225565871,-0.09295605135547214,242.7653332470099,,6.329382131111748,4.570156400764922,,0.3917968996247344,0.0,0.0,,,,,,,851,0,0.0,197.0,851,,654.0,6.907022905298133e-103,470.4674517440825,100.0,0.0,0.0,23.149236192714454,,76.85076380728555,0.0,0.0,4.570156400764922,,0.03260490091825626,3.288061042548728e-44,0.4782549296530689,2.665579264165659,0.9511470490254392,0.9046807088698013,1.008716142164366,numeric
3_8y_fir_p,2.630092706029162,0.0001468796264726713,0.00014248920080273215,0.012119390515726082,0.011936884049144992,141.75353831517242,,-0.7886717023298191,4.61512051684126,,1.1512453840286891,0.0,0.0,,,,,,,851,0,0.0,335.0,851,,516.0,1.3296008412574448e-35,160.61119895391613,100.0,0.0,0.0,39.365452408930665,,60.634547591069335,0.0,2.630092706029162,4.61512051684126,,0.055941876479384145,2.4546019409335844e-36,0.7003291408101585,0.9490550722086689,1.6319310665507618,2.663199005973507,1.0001425095068686,numeric
8_ny_fir_p,1.7587667616140203,0.0018759370119060643,0.0019736732713756667,0.04331208851932754,0.044426042715682734,50.679822377473194,,-0.21407185663113326,4.61512051684126,,3.2983409621115616,4.144773552793196,0.0,,,,,,,851,0,0.0,713.0,851,,138.0,1.4833879904819573e-29,132.76127808496042,100.0,0.0,0.0,83.78378378378379,,16.216216216216218,2.771622321499998,4.530389083114018,4.61512051684126,,0.057301481737042914,4.907731343787246e-35,0.7281593364935577,-1.1793852018082895,1.67159334100158,2.7942242976808247,1.0019775763609815,numeric
BLH_m_av,1.2153026463717405,0.08870458034551523,0.086488468991571,0.29783314178498543,0.29408921944126243,14.161926965142241,,0.945266963813439,8.129926043184277,,6.437784312435514,6.496800011525111,2.750479392159446,,,,,,,851,0,0.0,851.0,851,,0.0,4.845764357920529e-21,93.55236391552536,100.0,0.0,0.0,100.0,,0.0,5.924380159571458,7.139682805943198,5.37944665102483,,0.03125316411935789,7.352848339769742e-15,0.9581589549062651,-0.8311197805946942,0.911714312500502,0.8312229876182631,1.0946769318785676,numeric
BLH_m_rt,1.259346334682344,0.0010077618152329211,0.0006224177979109981,0.03174526445366176,0.02494830250560142,22.187091549587635,,1.4860516652640778,7.217483227796858,,4.751113174401365,4.870558676067563,0.093824118553869,,,,,,,743,108,0.0,743.0,851,,0.0,1.9589730228117816e-19,86.15339279783359,87.3090481786134,12.690951821386603,0.0,87.3090481786134,,0.0,4.147076829826372,5.406423164508716,7.12365910924299,,0.038672419508528316,9.278171113678753e-12,0.9676273399165212,-0.7712770447607279,1.05413382962895,1.1111981307681962,1.0006228054431034,numeric
CBH_m_av,0.6519675019694091,0.007930792839837908,0.009671425531571323,0.08905499896040597,0.09834340614180151,11.205403777586351,,4.80886380339988,9.33725565091803,,8.041473277809956,8.141850241322212,3.779220351115564,,,,,,,323,528,0.0,323.0,851,,0.0,2.7356428175443596e-29,131.5372025094649,37.95534665099882,62.04465334900118,0.0,37.95534665099882,,0.0,7.842461585262683,8.494429087232092,5.558035299802466,,0.05013740736030735,5.479710584002018e-17,0.8513633622694916,-1.8051621983145234,0.9010795504453137,0.8119443562307287,1.0097658754689196,numeric
CCL_hPa_av,0.3714751035419699,0.0026919942842506686,0.002525628527377467,-0.05188443200277583,-0.05025563179761515,2.97236270567513,,-0.9210126000519598,6.857496972514893,,6.595958644301731,6.579654428168898,6.09253538699539,,,,,,,851,0,0.0,851.0,851,,0.0,1.307456202821397e-28,128.40859836864698,100.0,0.0,0.0,100.0,,0.0,6.450280427580026,6.821755531121996,0.7649615855195027,,0.006720706775430983,2.744438997516804e-19,0.9315224178753783,-0.20838295884540745,0.19605581482497952,0.03843788252668666,1.0025320234781057,numeric
CMLG_av,0.3279798282453755,0.010652695558059526,0.009363791221077078,0.10321189639794207,0.09676668445842855,28.97954267884424,,0.2677820842359764,1.465913055958268,,0.8867649187008136,0.904760953248356,-0.081616581123954,,,,,,,851,0,1.0,850.0,851,,0.0,7.860315551866196e-05,18.902197425574204,100.0,0.0,0.11750881316098707,99.88249118683902,,0.0,0.727694485847065,1.0556743140924405,1.547529637082222,,0.008809175277242927,1.2934667677248125e-05,0.989844536725464,-0.34952164282937725,0.2569804180759207,0.06603893527447498,1.0094523005903642,numeric
Cape_av,2.448198857935519,0.024928613587256752,0.024214229263377917,-0.15788797796937154,-0.1556092197248541,153.7571125734478,,0.24595466320641401,7.018628106620164,,1.2720847187920994,0.0,0.0,,,,,,,851,0,0.0,378.0,851,,473.0,4.437564247789035e-33,148.99040487146357,100.0,0.0,0.0,44.41833137485312,,55.58166862514688,0.0,2.448198857935519,7.018628106620164,,0.06704809921044516,9.820811739987414e-37,0.6913751561356553,1.2813786410358692,1.9559207331027952,3.825625914181376,1.0248151079771317,numeric
Cin_av,1.5355573623749192,0.0410332228658662,0.038639162189446505,-0.2025665887205148,-0.19656846692551302,-47.63848267887625,,1.221861099828259,0.667792985114191,,-4.27566860497573,-5.104329786960525,-6.148221847260336,,,,,,,23,828,21.0,2.0,851,,0.0,0.0074789845658473336,9.791316498880043,2.7027027027027026,97.2972972972973,2.4676850763807283,0.23501762632197415,,0.0,-5.555828930688232,-4.020271568313313,6.8160148323745275,,0.4247154300325693,0.0002046491451587681,0.782632751654684,1.502443223587435,2.0368636477875133,4.148813519678256,1.040192153320334,numeric
