Variável,Grupo Alto (média),Grupo Baixo (média),Diferença,Diferença Relativa (%),Efeito,p-valor
VentIdx_av,17869.79,11633.186,6236.603,53.61,↑ MAIOR,0.0001
ros_p_lg1,3798.271,908.878,2889.393,317.91,↑ MAIOR,0.0
gp_m2s2_av,2896.043,4688.272,-1792.229,-38.23,↓ MENOR,0.0
CBH_m_av,5943.645,4559.611,1384.034,30.35,↑ MAIOR,0.0079
f_start,498.387,1620.495,-1122.108,-69.24,↓ MENOR,0.0123
gp_300_av,93416.593,94185.943,-769.35,-0.82,↓ MENOR,0.0
gp_500_av,57167.425,57552.809,-385.384,-0.67,↓ MENOR,0.0
wSv_9_av,280.034,-61.101,341.135,-558.31,↑ MAIOR,0.0
DC_12h_av,937.992,693.299,244.693,35.29,↑ MAIOR,0.0
elev_av,267.633,498.602,-230.969,-46.32,↓ MENOR,0.0
gp_950_av,5789.08,5684.91,104.17,1.83,↑ MAIOR,0.0087
aspect_av,271.556,193.476,78.081,40.36,↑ MAIOR,0.0
CCL_hPa_av,659.643,733.876,-74.233,-10.12,↓ MENOR,0.0036
Cape_av,22.857,94.238,-71.381,-75.75,↓ MENOR,0.0007
gp_850_av,15246.313,15175.032,71.281,0.47,↑ MAIOR,0.0132
wSv_1_av,132.002,68.879,63.124,91.64,↑ MAIOR,0.0
gp_700_av,31173.906,31232.465,-58.56,-0.19,↓ MENOR,0.0348
inidoy,275.546,226.012,49.533,21.92,↑ MAIOR,0.0
enddoy,275.591,226.169,49.421,21.85,↑ MAIOR,0.0
wdi_500_av,175.497,206.183,-30.686,-14.88,↓ MENOR,0.0001
wv_850_av,45.913,22.818,23.096,101.22,↑ MAIOR,0.0
sP_hPa_av,981.941,962.815,19.126,1.99,↑ MAIOR,0.0
wv_700_av,49.611,30.968,18.644,60.2,↑ MAIOR,0.0
HigCC_p_av,45.163,26.873,18.291,68.06,↑ MAIOR,0.0014
rh_500_av,51.438,33.884,17.554,51.81,↑ MAIOR,0.0001
TotCC_p_av,46.233,29.818,16.415,55.05,↑ MAIOR,0.0123
wv_950_av,34.48,18.337,16.143,88.04,↑ MAIOR,0.0
rh_700_av,51.382,36.068,15.314,42.46,↑ MAIOR,0.0
wv_500_av,51.036,38.142,12.894,33.8,↑ MAIOR,0.0
FWI_12h_av,58.874,47.367,11.507,24.29,↑ MAIOR,0.0
