fid,fname,year,id,type,sdate,edate,inidoy,enddoy,source,zp_link,burn_perio,area,growth_rat,ros_i,ros_p,spdir_i,spdir_p,int_i,int_p,duration_i,duration_p,qc,elev_av,aspect_av,landform,land_use,land_use_d,1_3y_fir_p,3_8y_fir_p,8_ny_fir_p,fuel_model,f_load_av,sW_1m_av,sW_3m_av,sW_7_av,sW_28_av,sW_100_av,sW_289_av,t_2m_C_av,d_2m_C_av,rh_2m_av,VPD_Pa_av,sP_hPa_av,gp_m2s2_av,dfmc_av,HDW_av,Haines_av,FWI_12h_av,DC_12h_av,FFMC_12h_a,wv10_kh_av,wdir10_av,wv100_k_av,wdir100_av,Recirc,CircVar,t_950_av,t_850_av,t_700_av,t_500_av,t_300_av,rh_950_av,rh_850_av,rh_700_av,rh_500_av,rh_300_av,wv_950_av,wv_850_av,wv_700_av,wv_500_av,wv_300_av,wdi_950_av,wdi_850_av,wdi_700_av,wdi_500_av,wdi_300_av,vwv_950_av,vwv_850_av,vwv_700_av,vwv_500_av,vwv_300_av,gp_950_av,gp_850_av,gp_700_av,gp_500_av,gp_300_av,gT_s_9_av,gT_9_8_av,gT_8_7_av,gT_7_5_av,gT_5_3_av,wSv_9_av,wSdir_9_av,wSv_7_av,wSdir_7_av,wSv_5_av,wSdir_5_av,wSv_1_av,wSdir_1_av,CBH_m_av,HigCC_p_av,LowCC_p_av,MidCC_p_av,TotCC_p_av,Cape_av,Cin_av,BLH_m_av,BLH_m_rt,LCL_hPa_av,LCL_m_av,LFC_hPa_av,CCL_hPa_av,EL_m_av,LiftIdx_av,VentIdx_av,CMLG_av,ros_p_lg1,f_start,fire_rank,SHAP_durat,SHAP_sW_10,SHAP_8_ny_,SHAP_3_8y_,SHAP_f_loa,SHAP_f_sta,SHAP_FWI_1,SHAP_wv100,SHAP_wv_85,SHAP_Cape_,SHAP_gT_8_,pred_log,actual_log,outlier,PredROS,PredErr,PctErr
1,Agueda_15102017,2017,1462,p,2017-10-15 19:00:00,2017-10-15 20:00:00,288.791667,288.833333,rep,1,1,749,749,1949.228566,3860.58731,0.913406,354.587389,19308.053208,38593.518511,3,1,3,335.028889351082,263.560641693359,32,4,Eucalyptus Forests,0,0,79.6928327645051,223,16.3866978609626,0.166815697956334,0.238664266673725,0.078472645774546,0.130494542373905,0.18599827618555,0.276679382397212,26.0278994516062,4.83537454682932,25.7574656076228,2504.6314733594,970.510753387496,4155.4280220119,7.71871030523772,19962.9997455168,4,72.6611610332918,1075.77304488884,94.3965818301877,7.86333239274989,167.623057532649,19.4979226909393,181.663295005929,0.006469766428588,0.006480393249786,27.2937283925013,19.0021080191207,3.85937120469876,-13.927784401368,-39.4392878656998,21.6697417950608,30.47650116044,60.0733667811517,50.3650560998025,35.4720592835326,27.9436776194652,55.6776162127389,64.3930952223922,60.2054182493556,44.0521189568965,187.938827359169,191.447876639843,192.466661307748,186.026426003198,237.180519595415,0.203843816952484,0.614784586682926,0.361355890753134,-0.057141037444245,0.057097478243311,5776.36597947189,15270.3958210326,31167.7006204141,57050.984180392,93140.8064375623,15.002911907827,-9.04736256034145,-9.74408480518209,-6.94572983840545,-7.11103451174852,152.475685458666,3.40261345000647,20.2373191919135,0.164067746778048,9.36218172513495,0.060316713540232,83.8218507884731,2.57441088445523,4327.59353581505,19.8895675678149,0,3.3190847555311,22.1186290178143,0,1,292.182666261583,25.5015223183744,709.492382155441,2.90624493500185,-1,673.668968118893,-1,12.747359832233,14038.514404197,2.61406226874027,1950.727816,120,1,,,,,,,,,,,,,,1,974.872802734375,2885.71450726562,74.7480700615374
2,Agueda_15102017,2017,1463,p,2017-10-15 20:00:00,2017-10-15 21:00:00,288.833333,288.875,rep,1,1,45,45,1282.570028,165.888683,352.756775,259.226329,11928.460211,1153.402509,4,1,3,299.583820705307,74.6373247741168,32,4,Eucalyptus Forests,0,0,61.9883040935673,223,17.0639024390244,0.164751036244552,0.236313604680595,0.077150829325679,0.128517933203399,0.183835711415334,0.274177397503897,24.3423865287516,5.28045038460456,29.2513278290763,2154.46187181232,973.385508313376,3902.64526103631,8.35543879057619,18046.5353536455,4,73.2977747960167,1084.20536999655,94.4332022962936,8.41082026599288,178.845362067136,21.8969831114377,189.299209714447,0.000885884901482,0.000893219747986,26.2366055159847,18.5269762530861,3.74320640478264,-13.8181032074764,-39.1479482980174,23.7530954790413,32.1819763172472,60.0869788281889,47.3245920498579,78.9790780620063,32.2831917723165,59.0871192445074,61.6622658425117,62.7253635349626,37.5259345636696,194.302157672011,194.804667964454,192.881026084395,194.166964852992,260.046222322697,0.222487071347115,0.577482557573675,0.293971740480796,0.023665400598645,0.018767966653993,5803.34008312647,15274.20952922,31157.1319062727,57043.0605954696,93139.740519741,12.0048263021035,-8.41232569826684,-9.51309587610116,-6.85753893858895,-7.06039935544812,143.304963868013,1.90671879475249,18.7204271501985,0.089354996555274,9.70954195874863,0.048992914912099,101.341513605152,1.88441685606536,3853.2675690494,55.8911154714872,0,6.834447845996,59.0162082098094,0,1,396.364139354703,165.8815062288,733.633295893504,2.64038042805493,-1,685.327592250208,-1,13.541476072394,16142.0002130961,2.24401628870023,3860.58731,180,1,,,,,,,,,,,,,,1,1362.62536621094,-1196.73668321094,-721.409478674888
3,Agueda_15102017,2017,1472,p,2017-10-15 22:00:00,2017-10-15 23:00:00,288.916667,288.958333,rep,1,2,1493.5,1493.5,4422.763007,4422.763007,51.777618,51.777618,32490.88879,32490.88879,1,1,3,438.93565471226,349.799366191673,22,4,Eucalyptus Forests,1.65335314880178,3.6968233327141,39.903399591306,223,16.1426294552791,0.173249850373846,0.247060407750724,0.082212297017738,0.136329104741125,0.192869274426345,0.286113612712034,21.4744443253385,5.07107627329114,34.329949873585,1681.15905780915,967.349865963525,4785.43578027924,9.32276793787556,15418.3828167886,4,70.091287802876,1031.2585331103,94.2331309243512,8.96264183860808,195.89809470232,22.0880576404205,205.557189626397,0.020636663776998,0.020659533396054,23.8239230019346,17.0791180752677,4.13635629081782,-13.9620675405336,-38.6705236126894,31.9946574756936,36.8011954189917,60.9304095830472,46.482611471588,102.783845535286,26.5380688614969,57.6617188742679,52.5133134735619,63.1319522569098,36.0863826033127,204.967474794892,201.795478695768,196.767189931562,204.483556934321,257.309878698111,0.223636794775697,0.524258271523136,0.17521726142639,0.013847662914735,0.054029860533778,5872.07075692046,15274.2039634546,31151.1828215054,57035.4923808319,93184.0532696817,1.75539373770672,-7.35956216305334,-8.32843956720139,-7.06727737798899,-6.88719440258689,326.794179772046,-0.287740717117477,16.9146025781245,-0.063203867117601,10.4822739705109,-0.004873854151671,138.035121014683,-0.0469071998806,4604.91295722741,91.8646662890941,0,0.7673960555021,91.8862965308031,0,1,540.589261868002,28.7458935560089,757.480634896937,2.38641946486727,-1,660.151364944144,-1,14.2820115430143,13346.4697255385,1.84583020299927,193.121015,300,2,,,,,,,,,,,,,,1,2576.86962890625,1845.89337809375,41.7362037073254
4,Agueda_15102017,2017,1475,p,2017-10-15 23:00:00,2017-10-16 00:00:00,288.958333,289,rep,1,2,1039.25,1039.25,3567.531411,3255.471545,72.705393,85.516718,30077.187974,29462.202363,2,1,3,382.013126204239,19.555632568678,22,4,Eucalyptus Forests,0.357535753575358,8.38833883388339,41.7216721672167,223,16.1864893617021,0.173203500142894,0.246941615916975,0.082219728480168,0.136322636960146,0.192806063038405,0.285956491987917,20.264143396833,6.28049428124747,40.3436576151209,1421.10265539017,967.888631698666,4774.25755212799,10.2496350614671,12205.2716048264,4,52.7869093971511,1034.06639342902,91.3033635885817,8.42733918021903,217.354972743127,21.5268153935256,215.381702921099,0.014656773740237,0.014675099194275,22.1402220469954,15.7397075412887,4.26283056327908,-14.1703498871873,-38.7046058013707,39.1462028286129,40.8386727773444,57.7635469860773,55.5929329347938,102.34905188762,26.1828035094053,56.333107021682,54.1526377933213,64.0774532269869,38.0227579144343,213.419268923044,206.116652331102,196.174802718004,203.771343743933,255.11426728059,0.216553550969528,0.402097361863025,0.130132111004349,-0.041415657628289,0.084899396776238,5896.00984670775,15251.3116246543,31106.7700624014,56989.1243100188,93166.2827688757,-4.68707317761795,-6.98389129002587,-7.38516847666921,-7.19799693144009,-6.83863813709569,318.001307647095,-2.01459468097228,17.6725813501198,-0.160888401029325,10.7235441843121,-0.053789165046326,133.268460301152,-0.778515424029818,5048.29185655732,86.4272703665079,0,0.004032187849,86.4272703665079,0,1,508.119673345139,33.5491659693784,785.650231838517,2.09531046755097,-1,678.333693900241,-1,14.8824622937201,13102.1027733308,1.58719079420583,-1,360,2,-1.33398234844208,0.099129758775234,0.379558742046356,0.011809654533863,0.373536854982376,-0.234962925314903,0.154608055949211,0.1730767339468,-0.023968186229467,0.116855829954147,-0.590551137924194,12.6975526809692,15.1834308487925,1,1903.38098144531,1352.09056355469,41.5328638221805
5,Alcobaca_15102017,2017,1027,p,2017-10-15 15:30:00,2017-10-15 17:00:00,288.645833,288.708333,rep,1,1,1458,972,3690.911697,6195.909547,25.763472,28.197151,38576.458363,64838.879129,3,1.5,4,89.2185227666205,302.553820173904,34,6,Coniferous Forests,0,0.095620577548288,7.66877031937273,227,18.211982228298,0.072271198144913,0.092056561065847,0.019895422254977,0.050679592192726,0.0836608392036,0.102525007055759,29.1198020722901,10.8725092476639,32.4318821519066,2731.00222889757,1011.51077426093,368.255552007093,8.30389172971506,70436.1613069719,4,59.869534486519,1029.61776421522,91.4063832727435,25.8895776068838,197.206039858207,40.0150644436405,190.49053787544,1.858479931e-06,1.861965635e-06,27.5272677212767,18.9808718182342,4.74086414503318,-14.6097426171423,-38.8225852688685,20.8127492825221,28.0474658477291,52.966233328981,66.3764794725795,9.56843435516639,56.5305867887984,62.6534853092053,66.4451328011509,62.5242454353474,37.8769767581769,184.079184401897,185.892442463358,182.510150835289,185.398656986392,212.700073540344,-0.182104683563039,-0.149597423909342,0.117738679731879,-0.109730720403606,0.039450676661399,5742.74267609914,15235.9798571679,31161.2337532854,57059.8906911396,93147.845713933,-1.93631597974451,-9.32535968087472,-9.16319448027142,-7.556243941187,-6.74904793301139,60.9818176252818,-0.287122695932238,13.6792893167202,-0.057214466104207,6.61670459770097,-0.02179189733648,156.924683398664,-0.353575756299435,-1,0.9883496691177,0,0,0.9883496691177,0,1,1166.62929665323,483.134920335237,774.185405362362,2.21273269048703,547.293300510887,707.07539644197,-1,11.4911786187146,28280.6107998379,1.0461033938338,2950.489447,90,2,,,,,,,,,,,,,,1,2285.17163085938,3910.73791614063,63.1180601730083
6,Alcobaca_15102017,2017,1030,p,2017-10-15 18:00:00,2017-10-15 19:00:00,288.75,288.791667,rep,1,1,2497,2497,3134.469942,6999.48848,9.605785,20.113923,40600.048517,109922.680681,5,1,4,65.4062123645122,310.601563971343,34,6,Coniferous Forests,0,0.156887354879197,47.6414600983161,227,23.9183400160385,0.049743374592475,0.061502752797124,0.013559803940391,0.032857532014672,0.058186259157732,0.067724646027097,25.6418718982202,11.7097453696075,41.9806771200801,1913.17627007349,1008.74818764361,284.76377783215,9.93122317614861,52176.8074673767,4,52.8007186885092,1010.68597077364,90.3981950155362,27.3853736130707,195.672068794073,43.4072582670668,194.685199999829,8.3698671488e-05,8.3730185557e-05,27.0172405371973,18.8539220279364,4.4701125993447,-13.6262185083972,-39.1495257209276,20.4893459754877,26.481363447189,55.1956404737661,49.729247935703,44.9815832333426,63.6845749284896,61.6018515319352,60.8478926462081,61.3518445209484,34.0222710685434,191.650589226297,192.675793534073,191.506410930988,189.603313521188,259.017218892381,-0.14509570580424,0.04837568928099,0.264048860511844,-0.110995938645868,0.113844540124951,5754.64782081218,15241.2615049765,31146.8604765362,57051.8436280359,93184.5388096659,2.6974435584069,-8.90736658493666,-9.25572838063788,-7.06646018758821,-7.11432466910541,71.3327788238612,-0.120559492421065,11.2586057954683,-0.020791200816401,6.15588539854237,-0.017356758314739,179.013759767349,-0.081665852509858,7231.53847916752,65.8426858454365,0,0,65.8426858454365,0,1,518.100955711056,37.2206954315541,821.511521366899,1.73474938754847,-1,722.358404164176,-1,14.9641985603261,31870.5776129649,1.21664843183742,3315.753935,240,1,,,,,,,,,,,,,,1,2698.99243164062,4300.49604835937,61.4401475286002
7,Alcobaca_15102017,2017,1031,p,2017-10-15 19:00:00,2017-10-15 20:00:00,288.791667,288.833333,rep,1,1,1992.75,1992.75,3611.962797,5997.695442,9.15594,7.980628,47355.399008,81963.167459,6,1,4,47.1602364484226,314.537898826586,22,6,Coniferous Forests,0,0.193075041832926,53.5718882739091,227,25.0773230309073,0.047689986285648,0.059849132475129,0.013285908471073,0.031524225337413,0.05574984079419,0.066282543157393,24.8118016068381,11.7195261130015,44.3767709075791,1754.74214193094,1009.95373979924,313.038326901722,10.3353068706303,48508.0703804725,4,53.2526777158643,1014.54784146114,90.4114204942641,28.015062195655,194.229910629228,44.7061684374503,194.316664863345,0.000461636008486,0.000461743502085,26.548727210026,18.5878694854191,4.28641510983984,-13.687584442933,-39.0186751783583,20.8212805513861,27.5674680417034,56.7691028194507,51.6066169505413,85.7768780702859,66.7784876805638,58.7544699788131,58.1456003514082,62.0664129090957,35.957661825675,194.732964044225,196.711823342899,192.768151584234,195.722875000051,279.045868769296,-0.109228793581185,0.113546446357476,0.146114074448497,0.05136256816473,0.020810387647241,5784.89921508083,15259.9673915688,31152.2958183041,57064.349511901,93193.3232472955,3.73322822146398,-8.68645245229059,-9.20273435250919,-7.01869077743939,-7.06074656445423,75.8751182871481,0.020038993257342,10.0352111981403,-0.008018887344528,6.1316832765233,0.004754078665968,182.963891286309,0.036625439626693,7930.25043929112,92.5149113933625,0,0.9721217257499,92.5304718357635,0,1,503.65726206644,11.2829423813743,832.80013771473,1.62622493368805,-1,728.892530678904,-1,15.7783509684068,33392.1221189441,1.12256767162161,6999.48848,300,1,,,,,,,,,,,,,,1,2585.25927734375,3412.43616465623,56.8957893520236
8,Alcobaca_15102017,2017,1032,p,2017-10-15 20:00:00,2017-10-15 21:00:00,288.833333,288.875,rep,1,1,1427.25,1427.25,3420.212958,2472.725202,11.088312,28.865169,42515.848222,27570.886003,7,1,4,55.0528812368236,269.906938972154,24,6,Coniferous Forests,0,0.143189547163057,25.1655629139073,227,21.1299930216329,0.055632730359308,0.071046508428412,0.015761529089192,0.037154252902997,0.064898653074215,0.079201946560213,24.6740238597843,11.3352728957297,43.4596105106093,1762.07213791935,1010.36669790218,381.886424326405,10.2261851543868,47292.5582491839,4,58.1141956010463,1036.19300431941,91.1426779118522,27.0395436021054,192.633922789333,43.7311632932034,192.205763876646,2.129e-12,2.129e-12,25.6339346098969,18.1930680745865,4.23634210841295,-14.0134474873793,-38.8984221904464,23.5882400099735,29.7459071258277,56.9915193389743,59.5684836368036,103.729780736643,67.882884451838,54.497337022023,56.284536836383,61.8336924458496,35.7622623085334,194.270317069725,199.192564875199,192.426377153487,201.581194047156,281.84290433933,-0.062857567502367,0.187650271169235,0.028594517627574,0.084417692181921,-0.009344487878518,5810.4747885262,15264.7566279201,31146.7971999497,57067.4748479342,93195.4462983145,2.81891407911489,-8.11906651252281,-8.98090768424102,-7.12638439486532,-6.93639691541142,80.7164763565408,0.075989854766983,9.69721245077179,0.002009690736291,6.22330805567803,0.029976873739036,180.765316574433,0.019452181054668,7084.94264322642,97.9482179815368,0,1.0569411256114,97.9795922121455,0,1,536.643333923764,37.785009533766,829.843680720812,1.65365127345906,-1,729.335128364424,-1,15.7593936562712,33949.5511117083,1.1170079395353,5997.695442,360,1,,,,,,,,,,,,,,1,3772.02685546875,-1299.30165346875,-52.5453314593084
9,Alcobaca_15102017,2017,1033,p,2017-10-15 21:00:00,2017-10-15 22:00:00,288.875,288.916667,rep,1,1,1706,1706,3683.806822,5693.988328,14.168056,27.01551,46382.855679,62307.304626,8,1,4,58.6904735682819,304.86876711492,22,6,Coniferous Forests,0,0.079744816586922,9.82456140350877,227,19.0845233866193,0.049226593988124,0.065002539289157,0.014120531060231,0.033089874297833,0.057346226682449,0.073349600294994,24.055251508035,11.6652820285503,45.9972672848362,1619.0954783623,1010.53949495165,373.592403554412,10.6281086448793,42721.8330102492,4,57.3867050494302,1032.78866495718,90.9542236158815,26.3712802844131,196.801998477074,42.7820937083222,197.312623810397,0.001728277419979,0.00172896299634,24.0398514533079,18.0685449278646,4.31167623785668,-14.1773804867504,-38.7619946404939,29.9003048534278,30.9181934810079,56.3866803065435,61.6776848304943,101.403752114014,67.3190545440068,48.4049748319355,54.3343030732008,60.2755355078973,35.2770911606671,197.450671535639,204.653740811339,189.819697330018,205.25145852046,273.910381681072,0.015626415706272,0.234930107658951,0.018714743313785,0.025606187221157,-0.055077986235036,5832.68092720839,15258.2014048941,31147.6583041081,57056.3141817801,93212.5665388236,1.01340976851198,-6.51556302168137,-8.85230304217687,-7.21981613138152,-6.85267490995635,80.1717419586259,-0.027374308332483,9.13124847375755,-0.050210414271543,5.97468539860549,0.022054033294213,174.976825258367,-0.180638022432161,7934.56692327366,83.0402322620591,0,0.1153808636497,83.0411840304863,0.001895608567378,1,570.259490278799,29.4689954432574,841.459908385578,1.53998382676049,-1,732.15405607688,-1,16.2368740471995,33730.993527214,0.969724336481688,2472.725202,420,1,,,,,,,,,,,,,,1,2336.28979492188,3357.69853307813,58.9691853874507
10,Alcobaca_15102017,2017,1035,p,2017-10-15 23:00:00,2017-10-16 00:00:00,288.958333,289,rep,1,1,1531.75,1531.75,3500.766202,2353.039678,16.412515,18.120932,44009.043351,31766.035647,10,1,4,54.4426402727867,315.003432142001,24,6,Coniferous Forests,0,0,9.07951289398281,227,19.2206172839506,0.04147080686435,0.05678665173185,0.011926650206302,0.028329067092335,0.048176162861832,0.064890273354866,22.0722435347308,13.7641385447866,59.4493188474256,1079.121090532,1011.86672196872,319.952103687865,13.5432908487568,25357.0633332716,4,37.5287113367014,1020.66441708043,82.8245426314181,23.4346194551382,203.966740841955,38.288314878757,206.688644650018,2.4683909345e-05,2.473335236e-05,20.2972516882598,17.5269395480012,4.29322640111537,-14.1404453522928,-38.498617313887,55.2878755995378,35.899676428286,53.9232127590304,63.190311830204,96.507434004902,55.7013954871283,44.5445584442622,55.2975305192961,56.8948997018787,39.716241779388,212.829374966518,212.785405786282,187.282593290337,206.533722036377,262.653021178285,0.086481976682506,0.153736884801699,0.108554470099536,0.031214240904804,0.029027156435542,5869.40892879657,15229.2798142194,31117.4897432492,56987.8121639498,93204.1097575961,-2.97465961124575,-3.02281305819315,-8.51566165159102,-7.19818878097343,-6.78955678579168,61.9828503731142,0.232338548131149,10.3900428484278,-0.111763559458181,5.87449265282336,0.000642090795135,154.838604572031,0.060931183702862,6846.93309533448,60.1368981682597,0.005751876498,2.3085817047298,60.7178675104158,11.3580285249685,1,518.325715948558,51.695289559766,894.679796443619,1.03776905605252,522.964217026901,758.780529534442,5.76550966323563,17.8213209609995,35604.3443010462,0.519443340103957,3348.305683,540,1,,,,,,,,,,,,,,1,1092.20556640625,1260.83411159375,53.5832065809198
