variable,r_cluster_-1,tipo_cluster_-1,r_cluster_0,tipo_cluster_0,r_cluster_1,tipo_cluster_1,r_cluster_2,tipo_cluster_2,r_cluster_3,tipo_cluster_3,r_cluster_4,tipo_cluster_4,r_cluster_5,tipo_cluster_5
elev_av,-0.2483925236471055,exp,,,,,,,-0.2880251933199255,linear,,,-0.29625614394510785,linear
aspect_sin,,,,,,,-0.28998060070715803,pot,,,,,,
aspect_cos,,,,,,,,,,,-0.32894602340055723,pot,,
1_3y_fir_p,,,,,-0.20904507215821574,exp,,,,,,,,
3_8y_fir_p,,,,,,,,,,,,,,
8_ny_fir_p,,,,,,,,,,,,,0.26274271352211154,log
f_load_av,,,0.2837074230938067,linear,,,,,,,,,,
sW_1m_av,-0.18541226162379035,exp,,,,,,,,,,,,
sW_3m_av,-0.1747669578411394,exp,,,,,,,,,,,,
sW_7_av,,,,,,,,,,,,,,
sW_28_av,-0.172645609936819,pot,,,0.15576534934784114,linear,,,,,,,,
sW_100_av,-0.19544235935196808,exp,,,,,,,-0.21808791030927155,pot,,,,
sW_289_av,-0.16783840119298704,exp,,,,,,,,,,,,
t_2m_C_av,0.2967703154028651,exp,,,,,0.2692421331002393,linear,0.2867502509342684,pot,,,0.3916461251773763,pot
d_2m_C_av,-0.16404774149697057,exp,-0.5061594481420036,log,-0.26789578682278037,exp,-0.2361374222194148,exp,,,,,-0.27036464409739985,log
rh_2m_av,-0.3158549715180742,pot,-0.4366654877803994,linear,-0.25618465982470695,pot,-0.28918799913942705,pot,-0.2815465710244402,exp,,,-0.39336810694181046,log
VPD_Pa_av,0.3339033512962045,exp,0.33746051781856257,log,,,0.270656678646847,linear,0.30597492579343666,pot,,,0.39937651954891495,pot
sP_hPa_av,0.1621082995691664,pot,,,-0.16895547603213507,log,,,,,,,,
gp_m2s2_av,-0.19782223395770485,pot,,,,,,,,,,,,
dfmc_av,-0.3282980055477286,pot,-0.42254140942044244,log,-0.24052507706590243,pot,-0.28326174540975224,pot,-0.29188439499190955,exp,,,-0.41108203979143243,exp
HDW_av,0.4243525438253962,pot,,,0.2333720709675592,exp,0.3672681746459258,pot,0.40837924730208086,exp,0.39731367910488774,pot,0.5972697580960373,linear
FWI_12h_av,,,0.41849030286825545,linear,0.1737210548176641,exp,,,0.22166397922490372,exp,0.3233187606895563,pot,0.339679026225248,linear
DC_12h_av,0.16971898856585438,pot,,,0.21227465850438232,pot,0.22048392607671005,pot,,,,,,
FFMC_12h_a,,,0.36597633823056974,linear,,,,,,,,,0.24735359683258162,linear
wv10_kh_av,0.42251646901325945,pot,,,0.1665987329752912,pot,,,0.3956831785464294,linear,0.5429275288304318,pot,0.5054106835347472,linear
wsin10_av,,,,,,,-0.30856602023708446,pot,,,,,,
wcos10_av,,,,,,,,,,,,,,
wv100_k_av,0.3640038372164779,pot,0.3218775053796777,linear,0.17627631611585975,log,,,0.40908264319718823,linear,0.561592889709827,exp,0.46010915350680315,linear
wsin100_av,,,,,,,-0.3790429165252692,pot,,,,,,
wcos100_av,,,,,,,,,-0.24308000958942833,pot,,,,
Recirc,-0.2846702315853232,pot,,,-0.25681748763360596,pot,,,-0.22874698064738402,pot,-0.4221475424968332,pot,,
CircVar,-0.2482709935526294,pot,,,-0.2794452212456563,pot,,,-0.23128700709148065,pot,-0.3929550963601398,pot,,
t_950_av,,,0.2969437629103223,log,,,,,0.24409544496482272,pot,,,0.42349142913001014,pot
